Property,Domain,Range,Comment
sdt:alignedWith,sdt:CarbonResult,sdt:LifecycleModule,Align result to lifecycle module
sdt:aggregates,sdt:LifecycleModule,sdt:CarbonResult,Module aggregates results
sdt:contributesTo,ifc:IfcAsset,ifc:IfcAsset,Contribution chain (Building→Campus)
prov:wasGeneratedBy,sdt:CarbonResult,prov:Activity,Result generated by activity
prov:wasAttributedTo,rdfs:Resource,prov:Agent,Attribution to agent
prov:used,prov:Activity,rdfs:Resource,Activity used resource
prov:wasAssociatedWith,prov:Activity,prov:Agent,Activity-agent association
prov:actedOnBehalfOf,prov:Agent,prov:Agent,Agent delegation
sdt:calculatedFrom,sdt:CarbonResult,rdfs:Resource,Inputs used in calculation
sdt:derivedFrom,rdfs:Resource,rdfs:Resource,Lineage relation across ETL
sdt:relatedTo,rdfs:Resource,rdfs:Resource,Cross-reference helper
sdt:hasMaterial,ifc:IfcBuildingElement,sdt:Material,Element uses material
sdt:hasIFCMaterial,ifc:IfcBuildingElement,ifc:IfcMaterial,Explicit link to IFC material
sdt:hasEmissionFactor,sdt:ActivityQuantity,sdt:EmissionFactor,Quantity → emission factor
sdt:hasElectricityConsumption,ifc:IfcAsset,sdt:ElectricityMeter,Asset has electricity meter
sdt:hasWaterConsumption,ifc:IfcAsset,sdt:WaterMeter,Asset has water meter
sosa:madeObservation,sosa:Sensor,sosa:Observation,Sensor made observation
sosa:hasMember,sosa:ObservationCollection,sosa:Observation,Observation collection membership
sosa:hasFeatureOfInterest,sosa:Observation,sosa:FeatureOfInterest,Observation FOI
sdt:hasObservation,ifc:IfcAsset,sosa:Observation,Convenience link Asset→Observation
sdt:belongsToProject,ifc:IfcObjectDefinition,ifc:IfcProject,Associates object to project
sdt:locatedIn,ifc:IfcProduct,ifc:IfcSpatialStructureElement,Product located in spatial element
sdt:value,sdt:CarbonResult,xsd:decimal,Numeric carbon value (kgCO2e)
sdt:unit,rdfs:Resource,xsd:string,"Unit string (e.g., kgCO2e)"
sdt:uncertainty,sdt:CarbonResult,xsd:float,Uncertainty value
sdt:confidenceScore,sdt:CarbonResult,xsd:float,Confidence (0–1)
sdt:timestamp,rdfs:Resource,xsd:dateTime,Timestamp
sdt:source,rdfs:Resource,xsd:string,Data source reference
sdt:ifcGUID,ifc:IfcRoot,xsd:string,GUID for IFC anchors
